País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Reino Unido	Espumantes	$3.546,00	$9.260,00	$70.326,00	$0,00	$55.256,00	$8.040,00	$66.897,00	$73.941,00	$607.711,00	$97.055,00	$223.774,00	$101.672,00	$72.651,00	$54.428,00	$42.414,00	$45.041,00
Republica Dominicana	Espumantes	$0,00	$83,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Republica Tcheca	Espumantes	$3.950,00	$4.169,00	$1.125,00	$900,00	$0,00	$2.020,00	$0,00	$1.755,00	$66,00	$278,00	$532,00	$942,00	$0,00	$0,00	$0,00	$0,00
Russia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$18.240,00	$27.360,00	$0,00	$0,00
Serra Leoa	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.140,00	$1.070,00
Singapura	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.193,00	$926,00
Suecia	Espumantes	$0,00	$697,00	$17.100,00	$10.950,00	$0,00	$0,00	$0,00	$6.470,00	$534,00	$2.190,00	$352,00	$1.136,00	$218,00	$0,00	$0,00	$0,00
Suiça	Espumantes	$1.140,00	$20,00	$45.662,00	$0,00	$0,00	$12.250,00	$31.080,00	$14.014,00	$111.259,00	$9.648,00	$2.719,00	$16.884,00	$0,00	$8.959,00	$227,00	$4.739,00
Suriname	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$88,00	$19,00	$0,00	$0,00	$0,00	$3,00	$0,00	$4.202,00
Tailandia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$169,00	$287,00	$142,00
Taiwan (Formosa)	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$13.484,00	$6.574,00	$0,00	$6,00	$4.212,00	$5.578,00
Trinidade e Tobago	Espumantes	$179,00	$0,00	$0,00	$0,00	$20,00	$0,00	$1.785,00	$0,00	$1.470,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Turquia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$30,00	$75,00	$258,00
Uruguai	Espumantes	$2.862,00	$0,00	$0,00	$0,00	$21.325,00	$0,00	$0,00	$82.754,00	$128.510,00	$74.551,00	$28.085,00	$48.581,00	$34.039,00	$15.045,00	$15.322,00	$0,00
Vanuatu	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$31,00	$0,00
Venezuela	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$10.065,00	$0,00	$46,00	$0,00	$13,00	$2.205,00	$10,00	$2.670,00	$0,00	$0,00
Vietnã	Espumantes	$0,00	$0,00	$0,00	$1.768,00	$651,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$374,00
Outros(1)	Espumantes	$0,00	$13.359,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
África do Sul	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$6.324,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Alemanha, República Democrática da	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$1,00	$5,00	$23.268,00	$6,00	$0,00	$0,00	$91,00	$24,00	$44,00	$4,00
Angola	Suco	$4.593,00	$23.740,00	$61.246,00	$191.270,00	$8.108,00	$0,00	$0,00	$21.599,00	$2.880,00	$1.739,00	$10.771,00	$1.185,00	$1.553,00	$0,00	$21.627,00	$5.915,00
Antígua e Barbuda	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$53,00	$99,00	$25,00	$168,00
Antilhas Holandesas	Suco	$0,00	$0,00	$720,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Arábia Saudita	Suco	$138.906,00	$637.078,00	$123.802,00	$124.520,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Argélia	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$33,00	$0,00	$0,00	$0,00
Argentina	Suco	$0,00	$8.708,00	$8.797,00	$6.979,00	$5.315,00	$131.312,00	$34.018,00	$0,00	$775,00	$5.992,00	$9.414,00	$5.843,00	$3.458,00	$3.327,00	$8.209,00	$12.515,00
Aruba	Suco	$0,00	$0,00	$0,00	$3.270,00	$1.143,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$788,00	$0,00
Austrália	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$636,00	$1.887,00	$3.047,00	$2.193,00	$1.664,00	$3.939,00	$67.168,00
Áustria	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Bahamas	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$13,00	$169,00	$41,00	$662,00
