País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Arábia Saudita	Suco	73.140,00	292.560,00	48.760,00	48.760,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Argélia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00	0,00	0,00	0,00
Argentina	Suco	0,00	1.920,00	1.815,00	1.260,00	840,00	14.235,00	2.505,00	0,00	250,00	800,00	1.270,00	780,00	795,00	3.504,00	5.140,00	7.325,00
Aruba	Suco	0,00	0,00	0,00	5.008,00	1.878,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	450,00	0,00
Austrália	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	271,00	799,00	800,00	580,00	480,00	1.638,00	43.971,00
Áustria	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Bahamas	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00	168,00	34,00	542,00
Barbados	Suco	0,00	0,00	1.703,00	2.806,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	75,00
Bélgica	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	27,00	24,00	117,00	0,00
Benin	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	438,00	0,00	0,00	0,00	0,00	0,00	0,00
Bermudas	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	24,00	0,00
Birmânia	Suco	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Bolívia	Suco	0,00	0,00	2.060,00	0,00	539,00	3.375,00	4.468,00	3.003,00	3.414,00	9.867,00	7.755,00	11.797,00	612,00	0,00	21.435,00	15.700,00
Cabo Verde	Suco	290,00	0,00	480,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	180,00	180,00	126,00	270,00	0,00
Camarões	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.159,00	0,00	0,00	20,00	0,00
